Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Regions,Description,Number of Lead Investments,Number of Portfolio Organizations,Number of Exits (IPO),Operating Status,Founded Date,Founded Date Precision,Website,LinkedIn,Industry Groups,Industries,Number of Founders,Founders,Number of Employees
BitStone Capital,https://www.crunchbase.com/organization/bitstone-capital,Venture Capital,37,4,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",BitStone Capital an internationally operating venture capital firm investing in Real Estate and Construction Technology startups.,14,29,,Active,2017-01-01,year,https://www.bitstonecapital.com,https://www.linkedin.com/company/bitstone-capital/,"Financial Services, Lending and Investments, Real Estate","Construction, Real Estate, Smart Building, Venture Capital",2,"Kai Panitzki, Manfred Heid",1-10
Seed Fonds Aachen,https://www.crunchbase.com/organization/seed-fondaachen,Venture Capital,34,7,"Aachen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","VC-Funds for innovative and scalable start-ups from the Rhineland Area, Germany",17,26,,Active,2007-01-01,year,http://www.seedfonds-aachen.de,https://de.linkedin.com/company/techvision-fonds,Financial Services,Financial Services,,,1-10
Venista Ventures,https://www.crunchbase.com/organization/venista-ventures,Venture Capital,32,6,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Venista backs aspiring founders in Pre-Seed and Seed, focussing on tech-driven enterprise and consumer internet startups in Western Europe",7,24,,Active,2004-01-01,year,http://www.venista-ventures.com,https://www.linkedin.com/company/venistaventures/about/,"Financial Services, Lending and Investments",Venture Capital,2,"Christian Teichert, Oliver Wimmeroth",11-50
STS Ventures,https://www.crunchbase.com/organization/sts-ventures,"Angel Group, Venture Capital",31,4,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Backing tomorrow's hidden champions | The Cologne-based early stage VC.,15,25,,Active,2018-01-01,year,http://www.sts-ventures.de,https://www.linkedin.com/company/sts-ventures-early-stage-vc/,"Financial Services, Lending and Investments","Angel Investment, Financial Services, Venture Capital",1,Stephan Schubert,1-10
Dumont Venture,https://www.crunchbase.com/organization/dumont-venture,Venture Capital,22,7,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",DuMont Venture Holding GmbH & Co. KG was founded in 2007 as a subsidiary of M. DuMont Schauberg - a leading media corporation based in,2,13,,Active,2007-01-01,year,http://www.dumontventure.de,https://www.linkedin.com/company/dumont-venture,"Commerce and Shopping, Financial Services, Lending and Investments, Software","E-Commerce, SaaS, Venture Capital",1,Jorg Binnenbrucker,1-10
SMAPE Capital,https://www.crunchbase.com/organization/smape-capital,Venture Capital,21,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","SMAPE Capital is an interdisciplinary team, based out of Europe, investing without global limits",1,21,,Active,2021-01-01,year,https://www.smape.capital/,https://www.linkedin.com/company/smape-capital/about/,,,4,"Alexander Lenz, Astrid Woollard, Christian Niedermüller, Simon Schwerin",1-10
European Circular Bioeconomy Fund,https://www.crunchbase.com/organization/european-circular-bioeconomy-fund,"Private Equity Firm, Venture Capital",21,,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",European Circular Bioeconomy Fund invest and partner with entrepreneurs to accelerate late-stage circular bioeconomy companies.,12,17,,Active,2019-01-01,year,https://www.ecbf.vc,https://www.linkedin.com/company/european-circular-bioeconomy-fund,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,Peter J. Nieuwenhuizen,11-50
Cusp Capital,https://www.crunchbase.com/organization/cusp-capital,Venture Capital,19,2,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Cusp Capital makes investments in fast-growing technology companies on the cusp.,14,15,,Active,2021-01-01,year,https://www.cuspcapital.com,https://www.linkedin.com/company/cuspcapital/,,,2,"Christian Winter, Jan Sessenhausen",11-50
xdeck,https://www.crunchbase.com/organization/xdeck-gmbh,"Accelerator, Venture Capital",17,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","xdeck is a venture-platform that accelerates early-stage, data-enabled b2b tech startups",3,12,,Active,2019-01-01,year,https://www.xdeck.de/,https://www.linkedin.com/company/xdeck,"Information Technology, Internet Services, Software","Information Technology, Internet, Software",2,"Nils Eiteneyer, Oliver Steinki",1-10
S-UBG Group,https://www.crunchbase.com/organization/s-ubg-group,"Private Equity Firm, Venture Capital",14,1,"Aachen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",S-UBG Group offers equity financing opportunities to enterprises with a strong growth potential.,7,14,,Active,1988-01-01,year,http://s-ubg.de/en/s-ubg-group/,https://www.linkedin.com/company/s-ubg-group/,"Financial Services, Lending and Investments, Other","Angel Investment, Finance, Financial Services, Incubators, Small and Medium Businesses, Venture Capital",,,11-50
DeepTech & Climate Fonds,https://www.crunchbase.com/organization/deeptech-climate-fonds,Venture Capital,13,,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",DeepTech & Climate Fonds (DTCF) is a new investment fund operating in the field of cutting-edge technology (deep tech).,6,13,,Active,,,https://dtcf.de/en/,https://www.linkedin.com/company/deeptechandclimatefonds/,,,,,1-10
Seed GmbH,https://www.crunchbase.com/organization/88investments,"Micro VC, Venture Capital",13,4,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Investment company,,11,,Active,2011-01-01,year,,,,,2,"Gerald Schoenbucher, Jan Miczaika",
Simon Capital,https://www.crunchbase.com/organization/simon-capital,Venture Capital,12,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Simon Capital invest in startups that identify the needs of customers with innovative business models and disrupting product solutions.,5,12,,Active,2018-01-01,year,https://www.simoncapital.com,https://www.linkedin.com/company/forthenextgeneration,"Financial Services, Lending and Investments","Financial Services, Impact Investing, Venture Capital",1,Friedrich Droste,1-10
neoteq ventures,https://www.crunchbase.com/organization/neoteq-ventures,Venture Capital,12,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Earlystage venture capital firm based in Cologne, Germany. We invest in outstanding teams with exceptional, technology-based companies.",8,11,,Active,2020-01-01,year,https://www.neoteq.de/,https://www.linkedin.com/company/neoteq-ventures/,,,2,"B.J. Park, Simon Schneider",1-10
RWE,https://www.crunchbase.com/organization/rwe,Venture Capital,11,2,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",RWE is pan-European green energy company focusing on sustainability.,1,11,1,Active,1898-04-01,month,https://www.group.rwe/,https://www.linkedin.com/company/rwe-/,"Energy, Natural Resources, Software, Sustainability","Clean Energy, Energy, Energy Efficiency, Enterprise Software, Oil and Gas, Renewable Energy",1,Costas Papamantellos,10001+
Crossventures,https://www.crunchbase.com/organization/crossventures,Venture Capital,11,5,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Crossventures develops and participates in digital business models.,7,11,,Active,2011-01-01,year,http://www.crossventures.de,http://www.linkedin.com/company/1327290,Financial Services,"Finance, Financial Services",2,"Peter Richarz, Sven C Sixt",1-10
InsurTech.vc,https://www.crunchbase.com/organization/insurtech-vc,Venture Capital,10,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",InsurTech.vc is a venture capital firm in early stage and later stage investments.,2,10,,Active,2014-01-01,year,https://www.insurtech.vc,https://www.linkedin.com/company/10775927,"Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services, FinTech, Insurance, InsurTech, Venture Capital",1,Mehrdad Piroozram,1-10
LITTLEROCK,https://www.crunchbase.com/organization/littlerock-gmbh,"Micro VC, Venture Capital",10,1,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",LITTLEROCK  is a seed and early stage venture capital firm.,3,8,,Closed,2015-09-01,day,http://littlerock.vc/,https://www.linkedin.com/company/littlerock-gmbh/,"Financial Services, Lending and Investments, Professional Services","Business Development, Venture Capital",1,Georg G. Ibing,1-10
VENPACE,https://www.crunchbase.com/organization/venpace,Venture Capital,9,,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Early stage VC focussed on InsurTech - backed by insurance companies from the DACH Region,3,7,,Active,2020-01-01,year,https://www.venpace.com/en,https://www.linkedin.com/company/venpace/,"Financial Services, Lending and Investments","Auto Insurance, Health Insurance, Insurance, InsurTech, Life Insurance, Venture Capital",2,"Torsten Oletzky, Walter Botermann",51-100
Leanox Impact Capital,https://www.crunchbase.com/organization/leanox-venture-capital,Venture Capital,9,1,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Startup acceleration through impact investing I Female Founder & Investor Empowerment,,8,,Active,2021-10-20,day,https://www.leanox.eu,https://www.linkedin.com/company/leanox/,"Financial Services, Lending and Investments",Impact Investing,2,"Paulina Jänsch, Thore Vogel",1-10
DnA Ventures,https://www.crunchbase.com/organization/dna-ventures,Venture Capital,8,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Industrial tech advisory and early-stage investment firm,,8,,Active,2021-02-26,day,https://www.dna-industry.com,https://www.linkedin.com/company/dna-industry-solutions/,"Information Technology, Manufacturing, Other, Professional Services","Consulting, Industrial, Information Technology, Manufacturing, Professional Services",1,Dennis Kuesters,1-10
RSBG Ventures,https://www.crunchbase.com/organization/rsbg-ventures,Venture Capital,8,2,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",RSBG Ventures is the Corporate Venture Capital arm of RSBG SE – the second largest industrial investment company in Germany.,3,8,,Active,,,https://www.rsbg.com/de/,https://www.linkedin.com/company/rsbgse/mycompany/,"Hardware, Information Technology, Manufacturing, Science and Engineering, Software, Sustainability","CleanTech, GreenTech, Industrial Automation, Information Technology, IT Infrastructure, Robotics, Semiconductor",,,1-10
BA4V,https://www.crunchbase.com/organization/ba4v-fonds-gmbh-co-kg,Venture Capital,8,1,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",BA4V Fund closes the gap between Seed Funding and growth stage funding.,1,6,,Active,2015-12-02,day,http://www.ba4v.com,https://www.linkedin.com/company/ba4v-fondsmanagement-gmbh/,Financial Services,Financial Services,2,"Alexander Lang, Christian Schultz",1-10
Schauenburg Ventures GmbH,https://www.crunchbase.com/organization/schauenburg-ventures-gmbh,"Family Investment Office, Venture Capital",7,,"Mülheim An Der Ruhr, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Schauenburg Ventures is an international investment company, investing in eraly stage and seed phases.",,5,,Active,,,https://schauenburg-international.com/,https://www.linkedin.com/company/schauenburg-ventures,"Financial Services, Lending and Investments","Angel Investment, Venture Capital",,,
Gruenderfonds Ruhr,https://www.crunchbase.com/organization/gruenderfonds-ruhr,Venture Capital,7,1,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Gruenderfonds Ruhr is an investment firm.,1,5,,Active,,,https://gruenderfonds-ruhr.com/,https://www.linkedin.com/company/gr%C3%BCnderfondsruhr/,Financial Services,Financial Services,,,1-10
DSA Invest,https://www.crunchbase.com/organization/dsa-invest,Venture Capital,7,1,"Aachen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",DSA Invest is deals with promoting and financing companies in the start-up phase and consolidates.,,4,,Active,1980-01-01,year,,,,,,,501-1000
Bauwens Digital,https://www.crunchbase.com/organization/bauwens-digital,Venture Capital,6,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Bauwens Digital invests in cutting-edge business projects in all areas of real estate.,2,6,,Active,1873-01-01,year,https://www.bauwens.de/en/bauwens-digital,https://www.linkedin.com/company/bauwens/,"Financial Services, Lending and Investments, Real Estate","Finance, Financial Services, Real Estate, Venture Capital",1,Paul Bauwens-Adenauer,501-1000
Barmenia Next Strategies,https://www.crunchbase.com/organization/barmenia-next-strategies,Venture Capital,5,,"Wuppertal, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Barmenia Next Strategies is an early-stage venture investor in the InsurTech and HealthTech sectors.,2,5,,Active,2021-01-01,year,https://bns.vc,https://www.linkedin.com/company/barmenianextstrategies,"Financial Services, Lending and Investments","Finance, InsurTech, Venture Capital",,,1-10
Menden Ventures Consulting,https://www.crunchbase.com/organization/menden-ventures-consulting,Venture Capital,5,2,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Menden Ventures Consulting advises and invests in start-ups.,5,5,,Active,2011-01-01,year,http://www.mendenventures.com,,"Administrative Services, Financial Services, Lending and Investments, Professional Services","Consulting, Finance, Financial Services, Human Resources, Venture Capital",,,1-10
dimensional Ventures,https://www.crunchbase.com/organization/dimensional-ventures,"Angel Group, Micro VC, Venture Capital",5,2,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",We are a small private investment company – not a VC fund. Please see below for more details.,,3,,Active,,,https://www.dimensional.ventures/,https://www.linkedin.com/company/dimensional-ventures/,Financial Services,Finance,2,"Andreas Jacobi, André Schnitzler",1-10
DIGITALHUB.DE,https://www.crunchbase.com/organization/digital-hub-bonn,"Accelerator, Incubator, Venture Capital",4,,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","DIGITALHUB.DE is an accelerator for digital startups with funding, infrastructure and a large network of investors and companies.",,4,,Active,2016-01-01,year,https://www.digitalhub.de/en/,https://www.linkedin.com/company/digitalhub-de/,"Financial Services, Information Technology, Internet Services, Lending and Investments, Other, Privacy and Security","Angel Investment, B2B, B2C, Cyber Security, Information Technology, Internet of Things, Venture Capital",,,11-50
Realyze Ventures,https://www.crunchbase.com/organization/realyze-ventures,Venture Capital,3,,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Realyze Ventures invest in the brightest European PropTech & ConTech startups.,,2,,Active,2023-01-01,year,http://realyzeventures.com,https://www.linkedin.com/company/realyzeventures/,Real Estate,"Construction, Real Estate",2,"Kai Panitzki, Manfred Heid",1-10
Cohors Fortuna Capital,https://www.crunchbase.com/organization/cohors-fortuna-capital,Venture Capital,3,,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Cohors Fortuna Capital (CFC) is an investment firm that invests in early-stage start-ups.,1,3,,Active,,,https://en.cohors-fortuna-capital.com/,https://www.linkedin.com/company/cohors-fortuna-capital/,"Financial Services, Lending and Investments","Funding Platform, Impact Investing, Venture Capital",,,1-10
BeyondBuild,https://www.crunchbase.com/organization/beyondbuild,Venture Capital,3,1,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","BeyondBuild creates a real estate ecosystem that provides financial returns by combining digital assets, technologies, and resources.",1,2,,Active,2007-01-01,year,https://beyondbuild.com/,https://www.linkedin.com/company/beyondbuild,"Financial Services, Real Estate","Asset Management, Real Estate, Real Estate Investment",2,"Christine Damke, Zhi-Jian Jiang",1-10
Crealize,https://www.crunchbase.com/organization/crealize,Venture Capital,3,1,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Crealize develops new business models and companies.,,2,,Active,2015-01-01,year,http://www.crealize.com/,https://www.linkedin.com/company/crealize-gmbh,,,1,Jacob Fatih,1-10
Evalue,https://www.crunchbase.com/organization/evalue-the-2nd-evalue-fund,Venture Capital,3,3,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Evalue invests in global venture capital and private equity at all stages.,,3,,Active,2010-01-01,year,http://www.evalue.de/,https://www.linkedin.com/company/e.value,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,1-10
Intelligent Venture Capital,https://www.crunchbase.com/organization/intelligent-venture-capital,Venture Capital,3,,"Aachen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The Intelligent Venture Capital fund companies bundle about 50 private investors and investing in technology and life science-oriented,,3,,Closed,,,http://www.intelligent-venture-capital.de,,,,,,1-10
WestLB AG,https://www.crunchbase.com/organization/westlb-ag,Venture Capital,3,3,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","WestLB AG - derived from Westdeutsche Landesbank, i.e. Western German state Bank",1,3,1,Closed,,,http://westlb.com,,,,,,
West Steag Partners,https://www.crunchbase.com/organization/west-steag-partners,Venture Capital,3,1,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","West Steag Partners is a German venture capital firm that invests in the areas of optics, microsystems, and information technology.",1,2,,Closed,2001-01-01,year,http://www.weststeag.com/,,,,,,
3e Capital Group,https://www.crunchbase.com/organization/3e-capital-group,"Family Investment Office, Private Equity Firm, Secondary Purchaser, Venture Capital",2,,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","3e Capital Group is an early stage venture capital group focusing on high growing, new technologies.",,2,,Active,2006-01-01,year,http://www.3ecapital.de,https://www.linkedin.com/company/3e-capital/,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Internet Services, Science and Engineering, Software","Artificial Intelligence (AI), Cloud Computing, FinTech, Health Care, Home Health Care, Internet, Internet of Things, PaaS, Predictive Analytics, SaaS, Therapeutics",1,Hans-Jurgen Even,1-10
Curious Capital,https://www.crunchbase.com/organization/curious-capital-a4fc,"Corporate Venture Capital, Micro VC, Venture Capital",2,,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","Curious Capital is looking for seed and early stage investments, which anyhow fit to activities of a modern media company.",,2,,Active,2017-01-01,year,http://www.curiouscapital.vc,http://www.linkedin.com/company/curious-capital/,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Hardware, Information Technology, Media and Entertainment, Other, Science and Engineering, Software","Artificial Intelligence (AI), Blockchain, Digital Media, Hardware, Information Technology, Media and Entertainment",1,Johannes Heinen,11-50
eValue Ventures,https://www.crunchbase.com/organization/evalue-ventures,Venture Capital,2,2,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",eValue Ventures AG is an early stage venture capital provider.,,2,,Active,1999-01-01,year,http://www.evalueventures.net/,https://www.linkedin.com/company/evalue-ventures-ag,,,,,1-10
Excubate Corporate Startups,https://www.crunchbase.com/organization/excubate,"Incubator, Venture Capital",2,,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Excubate drives Digital Transformation & innovates Corporate Business Models – From Strategy to Implementation,,2,,Active,2015-01-01,year,https://www.excubate.de/,https://www.linkedin.com/company/excubate-corporate-startups/,"Financial Services, Lending and Investments, Professional Services","Angel Investment, Consulting, Innovation Management, Management Consulting, Venture Capital",,,11-50
RED Ventures,https://www.crunchbase.com/organization/red-ventures-3fd1,Venture Capital,2,,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)","An award winning venture studio, investing sweat and money in innovative and scalable digital companies",1,2,,Active,2017-04-01,day,https://red.gmbh,https://www.linkedin.com/company/redventures,,,2,"Adriana Trant, Ronald Derler",1-10
BANK IM BISTUM ESSEN eG,https://www.crunchbase.com/organization/bank-im-bistum-essen-eg,Venture Capital,2,,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",BIB is a cooperative bank with an ethical foundation & socio-ecological orientation.,1,2,,Active,1966-01-01,year,https://www.bibessen.de/,https://www.linkedin.com/company/bank-im-bistum-essen-eg,Financial Services,Financial Services,,,101-250
United Prototype,https://www.crunchbase.com/organization/united-prototype,Venture Capital,2,1,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",United Prototype is an website creator and content developer for large businesses.,,2,,Active,2009-09-01,day,http://unitedprototype.com,https://www.linkedin.com/company/corporateinfluencer,"Community and Lifestyle, Financial Services, Gaming, Information Technology, Lending and Investments","Gaming, Incubators, Information Services, Information Technology, Social",3,"Ibrahim Evsan, Thomas Bachem, Tobias Hartmann",1-10
Venture Creator,https://www.crunchbase.com/organization/venture-creator,Venture Capital,2,,"Bonn, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Venture Creator is a deep-tech startup studio.,1,2,,Active,2020-01-01,year,https://www.venture-creator.de/,https://www.linkedin.com/company/venture-creator/,,,1,Jonathan Reimer,1-10
BLACK RHINO VENTURES,https://www.crunchbase.com/organization/black-rhino-ventures,"Angel Group, Venture Capital",2,,"Aachen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Investing. Building. Companies.,,2,,Active,2016-07-13,day,https://blackrhino.ventures,https://www.linkedin.com/company/blackrhinoventures/,"Financial Services, Lending and Investments",Venture Capital,1,Tobias Kollewe,1-10
Gründerstipendium.NRW,https://www.crunchbase.com/organization/gründerstipendium-nrw,Venture Capital,2,,"Köln, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",The NRW start-up grant opens up the opportunity to get your innovative business idea off the ground.,2,2,,Active,,,https://www.gruenderstipendium.nrw/,https://www.linkedin.com/company/nrw-gr%C3%BCnderstipendium/,,,,,
Quest Solutions,https://www.crunchbase.com/organization/quest-solutions,Venture Capital,2,,"Essen, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",Quest Solutions is a specialist advisor to the healthcare industry.,1,1,,Active,,,http://www.quesol.de/quest-solutions.htm,,,,,,
E.ON Venture Partners,https://www.crunchbase.com/organization/e-on-venture-partners,Venture Capital,2,1,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",E.ON Venture Partners is a venture capital firm focused on investments in new energy technologies and business models.,,2,1,Closed,,,http://www.eon-venturepartners.com,,,,,,
